figure_number,filename,size_bytes,sha256,submission_format_status
1,Figure_1_TAFP_Framework.png,1442142,415330eba81f4ab6ea4e73b9ee2370799a43fe40b5f03b08f588fe97d77298fa,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
2,Figure_2_Threat_Model_Minor_Revision_v2.png,1150787,15d751d1e00ede479220b3bd6feb10830d56f4472b8a825c538bb6c2fc5b5081,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
3,Figure_3_Conceptual_Transformation.png,446340,d527f925a8bc5a04ef749fcb78e52f2ac6c083153392c69ddd39167729c67ceb,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
4,Figure_4_Graph_Level_Evidence.png,167990,1936d652c6e773f35733037db464500f698aa725ee8d7a673d53cd59813859b2,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
5,Figure_5_Attack_Evaluation.png,160849,b1004602a96f8a1df2b49d4513d6a571a7e12ec9b9877b3f081e1a59d959d1a1,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
6,Figure_6_Minority_Sensitive_Prevalence.png,154425,c5d69597f355eddf9ccdd1db6389c6a38c8e0aa264fbca281ed0096ef4f9ef92,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
7,Figure_7_E2E_Relation_QA.png,163723,de567989d50477d822ca1cd4d95452a22f1ab54c74b4dc0ba92a7eec18566260,SCIENTIFIC_CONTENT_LOCKED; JISA_RESOLUTION_REVIEW_PENDING
